,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10
144,0,1,0,1,1,2,6,5,2,7
145,0,1,0,0,3,3,2,4,0,4
146,0,1,0,0,3,4,1,6,8,9
147,0,1,0,0,3,4,1,6,8,9
148,0,1,0,0,3,4,1,6,8,9
149,0,1,0,1,1,2,6,5,2,7
150,0,1,2,3,4,3,2,7,6,4
151,0,1,0,0,3,5,0,1,1,3
152,0,1,0,0,3,5,2,1,1,1
153,0,1,0,0,3,5,0,1,1,3
154,0,1,0,0,3,5,0,1,1,3
155,0,1,0,1,1,2,6,5,2,7
156,0,1,0,1,4,3,2,7,6,4
157,0,1,0,1,4,3,2,7,6,4
158,0,1,2,0,3,5,0,1,1,3
159,0,1,2,1,4,3,2,3,6,4
160,0,1,0,1,1,2,6,5,2,7
161,0,0,1,2,2,1,3,3,5,2
162,0,0,1,2,2,1,3,2,7,2
163,0,0,1,2,0,1,4,2,7,0
164,0,0,1,2,0,1,4,2,7,0
165,0,0,1,2,0,1,4,2,7,0
166,0,0,1,2,0,1,4,2,7,0
167,0,1,2,3,4,3,5,7,0,4
168,0,1,2,3,4,5,0,1,1,3
169,0,0,2,3,4,5,5,0,1,3
170,0,0,2,3,0,0,4,0,4,5
171,0,0,2,2,0,0,4,0,4,5
172,0,0,2,3,0,0,4,0,4,5
173,0,0,2,3,4,3,5,7,0,4
174,0,1,2,3,4,3,5,7,6,6
175,0,1,2,3,4,3,5,7,6,4
176,0,0,2,3,4,5,5,1,1,3
177,0,0,2,3,0,0,5,0,4,5
178,0,0,1,2,0,1,4,2,7,0
179,0,1,1,1,2,3,3,3,5,8
180,0,0,1,0,3,5,0,1,1,2
181,0,0,1,0,3,5,0,1,1,2
182,0,0,2,3,0,0,5,0,4,5
183,0,0,2,3,4,0,2,3,6,8
184,0,1,0,1,4,3,2,4,6,4
185,0,0,2,3,4,3,5,7,6,6
186,0,0,2,3,4,3,2,3,1,8
187,0,1,0,0,4,3,0,1,0,4
188,0,1,0,0,4,3,0,1,0,4
189,0,1,0,0,4,3,0,1,0,4
190,0,0,1,2,2,1,3,3,7,8
191,0,0,2,3,4,5,2,4,1,2
192,0,1,0,1,4,3,2,4,6,6
193,0,1,0,1,1,2,6,5,6,4
194,0,0,2,3,4,0,2,4,5,2
195,0,1,2,3,4,3,2,4,6,6
196,0,1,2,3,4,3,2,4,6,6
197,0,0,2,3,0,0,5,0,4,5
198,0,0,2,3,0,0,5,0,1,5
199,0,0,2,3,4,3,2,3,1,8
200,0,1,2,3,4,3,2,3,6,8
201,0,0,2,3,0,0,5,3,4,5
202,0,0,2,3,0,0,5,0,4,5
203,0,0,1,2,2,1,3,2,7,0
204,0,1,1,0,3,5,3,1,3,1
205,0,1,0,0,3,5,0,1,3,3
206,0,1,0,0,3,5,0,1,3,3
207,0,1,0,1,1,2,6,5,2,7
208,0,0,2,0,3,5,0,1,0,3
209,0,0,1,2,2,1,3,3,7,8
210,0,0,1,2,2,1,3,2,7,0
211,0,0,1,2,2,1,3,2,7,0
212,0,0,1,2,2,1,3,2,7,0
213,0,0,1,2,2,1,4,2,7,8
214,0,0,1,2,2,1,3,2,7,0
215,0,0,1,2,0,1,4,0,5,2
216,0,0,1,2,2,1,3,3,5,8
217,0,0,2,3,4,0,5,7,6,6
218,0,0,2,3,4,3,5,7,4,6
219,0,1,0,1,1,2,6,5,2,7
220,0,1,0,1,1,2,6,5,2,7
221,0,1,1,0,3,4,1,6,8,9
222,0,1,0,0,3,5,0,4,1,3
223,0,1,0,0,3,5,0,1,3,3
224,0,0,1,2,0,1,4,2,7,0
225,0,1,2,3,4,3,5,7,6,6
226,0,1,1,0,3,5,0,1,1,3
227,0,1,0,0,3,4,1,6,3,1
228,0,1,0,0,3,3,0,1,0,4
229,0,1,0,0,3,3,0,1,0,4
230,0,1,0,1,1,2,6,5,2,7
231,0,1,0,0,3,4,1,6,3,1
232,0,1,2,3,4,3,5,7,6,6
233,0,0,2,3,4,0,5,7,4,6
234,0,1,2,3,4,0,5,7,4,6
235,0,0,2,3,4,0,5,7,4,6
236,0,1,0,1,1,2,6,5,2,7
237,0,1,0,0,3,5,0,1,1,3
238,0,1,0,1,1,2,6,5,2,7
239,0,1,0,1,1,4,1,6,8,9
240,0,1,0,1,1,4,6,6,8,1
241,0,1,0,0,3,4,2,4,3,8
242,0,1,1,0,3,4,1,6,8,9
243,0,0,1,2,2,5,3,1,5,2
244,0,0,2,3,4,0,2,3,5,8
245,0,0,2,3,4,3,2,3,5,8
246,0,0,2,3,4,3,2,3,5,8
247,0,0,2,3,4,3,2,3,5,8
248,0,0,1,2,0,1,4,2,7,0
249,0,1,2,0,3,5,0,1,1,3
250,0,1,1,0,3,5,0,1,3,3
251,0,0,2,3,0,5,0,0,1,2
252,0,0,1,2,0,1,4,0,7,0
253,0,0,1,2,0,1,4,2,7,0
254,0,0,1,2,2,1,3,2,7,0
255,0,0,1,0,2,5,3,4,5,8
256,0,1,2,3,4,5,0,1,1,3
257,0,1,2,3,4,5,0,1,1,3
258,0,1,2,3,4,3,2,4,5,8
259,0,1,2,3,4,3,2,4,5,8
260,0,1,0,1,1,4,1,6,8,9
261,0,0,2,3,4,0,5,0,5,2
262,0,1,2,0,4,5,0,1,3,1
263,0,0,1,2,2,3,3,3,5,1
264,0,1,2,3,4,3,2,4,5,8
265,0,0,1,2,2,1,3,2,7,0
266,0,1,0,0,3,5,0,4,1,3
267,0,1,2,3,4,3,5,7,0,4
268,0,0,1,2,0,1,4,2,7,0
269,0,0,2,3,0,0,4,0,4,2
270,0,0,2,3,4,3,2,3,6,8
271,0,0,2,3,0,0,4,0,1,5
272,0,1,2,3,4,3,5,7,6,6
273,0,0,2,3,4,0,5,7,4,5
274,0,1,0,1,1,2,6,5,2,7
275,0,0,2,3,4,0,5,7,4,5
276,0,1,0,1,1,2,6,5,2,7
277,0,0,2,3,2,5,2,4,5,2
278,0,1,0,1,4,3,5,7,6,6
279,0,0,2,3,2,3,3,3,5,6
280,0,0,2,3,4,0,5,7,4,6
281,0,0,2,3,4,3,5,7,4,6
282,0,1,0,1,1,2,6,5,2,7
283,0,1,0,1,1,2,6,5,6,7
284,0,0,2,3,0,0,4,0,1,2
285,0,0,2,3,0,0,4,0,1,2
286,0,0,2,3,0,0,4,0,1,2
287,0,1,0,0,3,4,1,4,8,9
288,0,0,1,2,0,1,4,2,7,0
289,0,0,2,3,0,5,0,0,1,2
290,0,0,1,2,0,1,4,0,5,8
291,0,0,1,2,0,5,4,1,1,2
292,0,0,1,2,0,1,4,0,7,2
293,0,0,1,2,2,1,4,3,5,8
294,0,0,1,2,2,4,3,6,3,1
295,0,0,1,2,0,1,3,2,7,0
296,0,0,1,2,0,1,4,0,1,2
297,0,0,1,0,3,5,0,1,3,2
298,0,0,1,0,3,5,0,1,0,2
299,0,0,1,0,3,5,0,1,0,2
300,0,1,0,1,1,2,6,5,2,7
301,0,1,0,1,4,3,2,7,6,4
302,0,1,0,1,4,3,2,3,6,8
303,0,0,1,2,2,3,2,3,5,8
304,0,0,1,2,2,3,2,3,5,8
305,0,0,2,3,2,3,2,3,5,8
306,0,0,2,3,0,0,4,0,4,5
307,0,0,1,2,0,0,4,0,5,8
308,0,0,1,0,2,3,3,3,5,8
309,0,1,0,0,3,5,0,4,1,3
310,0,1,2,3,4,5,2,4,5,8
311,0,1,0,1,4,3,2,7,6,4
312,0,1,0,0,3,4,1,4,8,9
313,0,1,0,0,4,3,5,7,0,4
314,0,0,2,3,4,0,2,7,4,5
315,0,0,2,3,4,0,2,0,4,5
316,0,0,2,3,0,0,4,0,4,5
317,0,0,2,3,0,0,4,0,4,5
318,0,1,0,0,3,4,1,6,8,9
319,0,0,1,2,2,1,3,3,5,2
320,0,0,2,3,0,5,4,0,5,2
321,0,1,2,0,3,5,0,1,0,3
322,0,1,0,0,3,5,0,1,0,3
